date,World
2019-12-31,27
2020-01-01,0
2020-01-02,0
2020-01-03,17
2020-01-04,0
2020-01-05,15
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,1
2020-01-14,1
2020-01-15,1
2020-01-16,0
2020-01-17,5
2020-01-18,17
2020-01-19,136
2020-01-20,20
2020-01-21,153
2020-01-22,142
2020-01-23,97
2020-01-24,266
2020-01-25,453
2020-01-26,673
2020-01-27,797
2020-01-28,1767
2020-01-29,1480
2020-01-30,1757
2020-01-31,2001
2020-02-01,2121
2020-02-02,2608
2020-02-03,2818
2020-02-04,3243
2020-02-05,3909
2020-02-06,3751
2020-02-07,3218
2020-02-08,3442
2020-02-09,2618
2020-02-10,2992
2020-02-11,2563
2020-02-12,2072
2020-02-13,15151
2020-02-14,4215
2020-02-15,2560
2020-02-16,2162
2020-02-17,2067
2020-02-18,1995
2020-02-19,1864
2020-02-20,532
2020-02-21,996
2020-02-22,1085
2020-02-23,1010
2020-02-24,523
2020-02-25,795
2020-02-26,867
2020-02-27,1114
2020-02-28,1271
2020-02-29,1860
2020-03-01,1843
2020-03-02,2068
2020-03-03,1858
2020-03-04,2315
2020-03-05,2357
2020-03-06,3060
2020-03-07,4120
2020-03-08,3980
2020-03-09,4177
2020-03-10,4820
2020-03-11,5117
2020-03-12,7922
2020-03-13,9474
2020-03-14,10464
2020-03-15,12191
2020-03-16,12489
2020-03-17,14238
2020-03-18,17094
2020-03-19,20289
2020-03-20,31204
2020-03-21,31985
2020-03-22,34234
2020-03-23,34270
2020-03-24,44560
2020-03-25,42544
2020-03-26,53825
2020-03-27,61109
2020-03-28,65192
2020-03-29,62847
2020-03-30,57368
2020-03-31,64722
2020-04-01,74845
2020-04-02,77636
2020-04-03,77646
2020-04-04,82003
2020-04-05,85274
2020-04-06,66261
2020-04-07,73303
2020-04-08,77348
2020-04-09,85090
2020-04-10,87408
2020-04-11,89630
2020-04-12,75355
2020-04-13,68521
2020-04-14,65259
2020-04-15,76974
2020-04-16,78819
2020-04-17,84428
2020-04-18,82272
2020-04-19,79693
2020-04-20,70507
2020-04-21,74666
2020-04-22,87310
2020-04-23,66604
2020-04-24,78789
2020-04-25,73149
2020-04-26,99848
2020-04-27,81832
2020-04-28,66781
2020-04-29,72825
2020-04-30,79507
2020-05-01,85674
2020-05-02,88530
2020-05-03,80639
2020-05-04,77017
2020-05-05,77607
2020-05-06,79558
2020-05-07,88302
2020-05-08,92817
2020-05-09,89696
2020-05-10,88423
2020-05-11,74535
2020-05-12,71367
2020-05-13,87118
2020-05-14,87502
2020-05-15,97180
2020-05-16,98236
2020-05-17,92967
2020-05-18,79049
2020-05-19,87957
2020-05-20,96382
2020-05-21,104973
2020-05-22,108771
2020-05-23,106811
2020-05-24,98946
2020-05-25,92252
2020-05-26,90950
2020-05-27,94641
2020-05-28,103816
2020-05-29,119328
2020-05-30,123188
2020-05-31,127764
2020-06-01,105626
2020-06-02,102772
2020-06-03,113214
2020-06-04,126514
2020-06-05,127355
2020-06-06,133856
2020-06-07,125387
2020-06-08,113667
2020-06-09,108752
2020-06-10,126773
2020-06-11,135663
2020-06-12,136728
2020-06-13,144986
2020-06-14,132970
2020-06-15,119616
2020-06-16,121596
2020-06-17,143251
2020-06-18,178023
2020-06-19,138809
2020-06-20,181355
2020-06-21,159136
2020-06-22,126285
2020-06-23,136494
2020-06-24,164177
2020-06-25,175824
2020-06-26,178867
2020-06-27,189698
2020-06-28,181247
2020-06-29,159070
2020-06-30,161815
2020-07-01,193798
2020-07-02,202237
2020-07-03,208885
2020-07-04,205799
2020-07-05,187773
2020-07-06,176549
2020-07-07,177163
2020-07-08,208510
2020-07-09,215913
2020-07-10,224960
2020-07-11,231720
2020-07-12,215719
2020-07-13,194193
2020-07-14,192553
2020-07-15,225054
2020-07-16,234288
2020-07-17,256151
2020-07-18,248828
2020-07-19,227019
2020-07-20,213629
2020-07-21,204635
2020-07-22,241538
2020-07-23,283889
2020-07-24,275842
2020-07-25,284289
2020-07-26,257000
2020-07-27,229330
2020-07-28,215352
2020-07-29,244711
2020-07-30,299972
2020-07-31,290225
2020-08-01,277273
2020-08-02,262019
2020-08-03,220912
2020-08-04,207322
2020-08-05,256816
2020-08-06,277848
2020-08-07,285966
2020-08-08,275842
2020-08-09,265704
2020-08-10,227503
2020-08-11,221187
2020-08-12,261628
2020-08-13,289725
2020-08-14,285521
2020-08-15,289466
2020-08-16,256330
2020-08-17,230261
2020-08-18,199624
2020-08-19,258063
2020-08-20,280651
2020-08-21,274449
2020-08-22,254316
2020-08-23,263315
2020-08-24,224243
2020-08-25,213162
2020-08-26,256567
2020-08-27,278253
2020-08-28,283627
2020-08-29,276977
2020-08-30,266041
2020-08-31,243225
2020-09-01,245521
2020-09-02,269000
2020-09-03,284989
2020-09-04,280050
2020-09-05,294918
2020-09-06,273436
2020-09-07,246041
2020-09-08,209003
2020-09-09,245736
2020-09-10,289163
2020-09-11,305692
2020-09-12,304680
2020-09-13,284187
2020-09-14,269918
2020-09-15,245519
2020-09-16,303580
2020-09-17,289646
2020-09-18,318191
2020-09-19,311995
2020-09-20,293472
2020-09-21,284343
2020-09-22,268933
2020-09-23,282714
2020-09-24,311482
2020-09-25,320879
2020-09-26,311601
2020-09-27,299288
2020-09-28,279884
2020-09-29,238454
2020-09-30,293934
2020-10-01,316025
2020-10-02,323180
2020-10-03,318812
2020-10-04,301978
2020-10-05,281076
2020-10-06,270276
2020-10-07,326777
